ID,Name,predicted_area_ha,period,abbr,name_en
2,朱蓬口区间,178.02,2019-2023,ZPK,Zhupeng Interval
3,临洪口,312.7,2019-2023,LHK,Linhong Estuary
4,埒子口,109.53,2019-2023,LZK,Lezi Estuary
5,灌河口,117.66,2019-2023,GHK,Guanhe Estuary
6,新淮河口区间,187.41,2019-2023,XHH,Xinhuai Interval
8,新洋港,1949.89,2019-2023,XYG,Xinyang Harbor
9,中路港,5755.36,2019-2023,ZLG,Zhonglu Harbor
20,东凌港,1042.65,2019-2023,DNG,Dongling Harbor
10,斗龙港,1384.1200000000001,2019-2023,DLG,Doulong Harbor
11,四寅酉河闸口,189.02,2019-2023,SYY,Siyinyou Sluice
12,王港,523.16,2019-2023,WG,Wanggang Harbor
13,川东港,1448.51,2019-2023,CDG,Chuandong Harbor
14,串水港,993.8100000000001,2019-2023,CSG,Chuanshui Harbor
16,弶港区间,3518.15,2019-2023,JG,Jiangang Interval
15,梁剁河口,167.14000000000001,2019-2023,LDH,Liangduo River Estuary
17,小洋口,1730.5,2019-2023,XYK,Xiaoyangkou
18,刘埠,38.52,2019-2023,LB,Liubu Harbor
19,洋口港,122.97,2019-2023,YKG,Yangkou Harbor
22,大洋港,1832.6100000000001,2019-2023,DYG,Dayang Harbor
25,协兴港,4324.41,2019-2023,XXG,Xiexing Harbor
1,绣针河口,471.12,2019-2023,XZH,Xiuzhen River Estuary
24,塘芦港,1127.3600000000001,2019-2023,TLG,Tanglu Harbor
23,蒿枝港,3233.1800000000003,2019-2023,HZG,Haozhi Harbor
21,通州湾,1113.9,2019-2023,TZW,Tongzhou Bay
7,射阳河口,606.38,2019-2023,SYH,Sheyang River Estuary
2,朱蓬口区间,63.52,2020-2024,ZPK,Zhupeng Interval
3,临洪口,260.34000000000003,2020-2024,LHK,Linhong Estuary
4,埒子口,85.56,2020-2024,LZK,Lezi Estuary
5,灌河口,114.55,2020-2024,GHK,Guanhe Estuary
6,新淮河口区间,25.32,2020-2024,XHH,Xinhuai Interval
8,新洋港,967.9,2020-2024,XYG,Xinyang Harbor
9,中路港,2316.9900000000002,2020-2024,ZLG,Zhonglu Harbor
20,东凌港,540.54,2020-2024,DNG,Dongling Harbor
10,斗龙港,2117.57,2020-2024,DLG,Doulong Harbor
11,四寅酉河闸口,532.95,2020-2024,SYY,Siyinyou Sluice
12,王港,604.58,2020-2024,WG,Wanggang Harbor
13,川东港,1551.38,2020-2024,CDG,Chuandong Harbor
14,串水港,745.71,2020-2024,CSG,Chuanshui Harbor
16,弶港区间,1827.44,2020-2024,JG,Jiangang Interval
15,梁剁河口,316.88,2020-2024,LDH,Liangduo River Estuary
17,小洋口,946.71,2020-2024,XYK,Xiaoyangkou
18,刘埠,14.290000000000001,2020-2024,LB,Liubu Harbor
19,洋口港,192.73000000000002,2020-2024,YKG,Yangkou Harbor
22,大洋港,0.0,2020-2024,DYG,Dayang Harbor
25,协兴港,26.84,2020-2024,XXG,Xiexing Harbor
1,绣针河口,221.01,2020-2024,XZH,Xiuzhen River Estuary
