experiment,seed,best_val_f1,epochs_completed,test_precision,test_recall,test_f1,test_iou,test_oa
STeInFormer,42,0.868902,66,0.9438730976727685,0.9541653914027216,0.9489912890697468,0.9029338904087938,0.9864592216384032
STeInFormer,1337,0.864068,45,0.8305533381554582,0.9383917349880931,0.8811854655809677,0.7876064598023926,0.9665939975792046
STeInFormer,2025,0.857907,34,0.7842162040442315,0.975187707976372,0.869337568125165,0.768874626961362,0.9613019916373033
STeInFormer,3407,0.862775,65,0.8391060214887658,0.9619504698395834,0.8963387774739675,0.8121503676722133,0.9706279056172767
STeInFormer,9001,0.856274,85,0.9530481624989893,0.9522134238063609,0.9526305602936274,0.909545972659006,0.9874989684198732
EdgeRefNet,42,0.817006,43,0.8463901893040638,0.9368630464368147,0.8893315103725229,0.8007174134156307,0.9692195838605646
EdgeRefNet,1337,0.787185,41,0.8785038662553226,0.9279416265635394,0.9025462043650543,0.822400267789649,0.9735462027536103
EdgeRefNet,2025,0.275713,33,0.2886824026471748,0.956853213338995,0.4435467904485815,0.284972804505643,0.68306313098315
EdgeRefNet,3407,0.793479,35,0.7550707042835407,0.8910235538507174,0.8174328270000801,0.6912359227015415,0.947459046269786
EdgeRefNet,9001,0.33032,45,0.31034880259773723,0.9335696098668081,0.46583792693905846,0.30364326164711625,0.7173668230083473
