comparison,metric,mean_paired_difference,bootstrap_95_ci_low,bootstrap_95_ci_high,paired_t_p,wilcoxon_p
COAST - BiT,f1,0.024019,-0.001672,0.064595,0.296154,0.187500
COAST - BiT,iou,0.036252,-0.002836,0.096275,0.288751,0.187500
COAST - BiT_GWDA,f1,0.038370,0.005547,0.076445,0.132027,0.187500
COAST - BiT_GWDA,iou,0.059646,0.009209,0.117332,0.127893,0.187500
COAST - OEP_BiT,f1,0.001381,-0.005802,0.010937,0.792027,1.000000
COAST - OEP_BiT,iou,0.001893,-0.009900,0.017286,0.823005,1.000000
COAST - COAST_shuffled,f1,0.008074,0.000976,0.016217,0.144486,0.125000
COAST - COAST_shuffled,iou,0.013095,0.001664,0.025835,0.138646,0.125000
COAST - COAST_random,f1,-0.005380,-0.013119,0.000540,0.243731,0.187500
COAST - COAST_random,iou,-0.008919,-0.021652,0.000928,0.241439,0.187500
COAST - COAST_no_gating,f1,-0.008672,-0.018260,-0.000862,0.152155,0.125000
COAST - COAST_no_gating,iou,-0.014523,-0.030358,-0.001485,0.148573,0.125000
